Feature,Importance
IS_AUTO_RENEW_LAST,0.6234658
IS_CANCEL_LAST,0.24797149
NEW_PRICE_DIFF_LAST,0.016402695
PAYMENT_METHOD_ID_LAST_30.0,0.01281913
NEW_AUTO_RENEW_RATE,0.012033664
IS_AUTO_RENEW_MEAN,0.008731215
ACTUAL_AMOUNT_PAID_LAST,0.00795501
NEW_LAST_TRANS_TO_EXPIRE_DAYS,0.005471329
registered_via_7.0,0.0049070246
NEW_NO_MEMBER_INFO,0.0045962804
PAYMENT_METHOD_ID_LAST_41.0,0.0043438436
PLAN_LIST_PRICE_LAST,0.0028335042
NEW_MEMBERSHIP_DURATION_DAYS,0.0026903355
PAYMENT_METHOD_ID_LAST_40.0,0.0025193887
NEW_CANCEL_RATE,0.0019585905
PAYMENT_METHOD_ID_LAST_39.0,0.0018973434
IS_CANCEL_MEAN,0.0018266428
PLAN_LIST_PRICE_MEAN,0.0017484382
ACTUAL_AMOUNT_PAID_MEAN,0.0017196406
PAYMENT_PLAN_DAYS_LAST,0.0016456032
PAYMENT_METHOD_ID_LAST_35.0,0.001417191
PAYMENT_METHOD_ID_LAST_34.0,0.0014153464
PAYMENT_METHOD_ID_LAST_37.0,0.0012747217
PAYMENT_METHOD_ID_LAST_29.0,0.0012141586
PAYMENT_PLAN_DAYS_MEAN,0.0010976915
PAYMENT_METHOD_ID_LAST_33.0,0.00104989
PAYMENT_METHOD_ID_LAST_31.0,0.0010149654
PAYMENT_METHOD_ID_LAST_38.0,0.0009996772
PAYMENT_METHOD_ID_LAST_36.0,0.0009887044
NEW_PRICE_DIFF_MEAN,0.0008151588
IS_CANCEL_SUM,0.0007431223
PAYMENT_METHOD_ID_LAST_16.0,0.0007247998
PAYMENT_METHOD_ID_NUNIQUE,0.0006247914
NEW_REG_TO_LAST_TRANS_DAYS,0.00061635784
PAYMENT_METHOD_ID_LAST_18.0,0.0006039763
city_9.0,0.0005984126
PAYMENT_METHOD_ID_LAST_20.0,0.0005963713
city_16.0,0.00058110774
PAYMENT_METHOD_ID_LAST_28.0,0.00057799165
PAYMENT_METHOD_ID_LAST_23.0,0.00056418456
city_10.0,0.0005083249
city_7.0,0.0005059339
city_18.0,0.0004942284
NEW_GENDER_MISSING,0.00049008714
city_17.0,0.00048445893
city_22.0,0.00047926264
city_14.0,0.00047371947
NEW_IS_DISCOUNT_USER,0.00047072797
city_6.0,0.0004703078
PAYMENT_METHOD_ID_LAST_17.0,0.0004671559
city_13.0,0.00046685722
city_3.0,0.000465432
city_8.0,0.00046337247
city_12.0,0.00045618237
city_15.0,0.00045586
PAYMENT_METHOD_ID_LAST_22.0,0.0004496223
registered_via_4.0,0.0004459471
city_11.0,0.00044264403
PAYMENT_METHOD_ID_LAST_21.0,0.00043203324
city_20.0,0.00042821935
city_21.0,0.00042429095
registered_via_9.0,0.0004223231
PAYMENT_METHOD_ID_LAST_13.0,0.0004212056
city_4.0,0.0004056385
registered_via_13.0,0.00039675916
PAYMENT_METHOD_ID_LAST_26.0,0.00039555944
city_5.0,0.00038673912
PAYMENT_METHOD_ID_LAST_15.0,0.00038461408
PAYMENT_METHOD_ID_LAST_12.0,0.00037906374
PAYMENT_METHOD_ID_LAST_32.0,0.00037605333
PAYMENT_METHOD_ID_LAST_27.0,0.00034432687
PAYMENT_METHOD_ID_LAST_8.0,0.00032898976
gender_male,0.0003191486
PAYMENT_METHOD_ID_LAST_14.0,0.000281372
city_19.0,0.000202015
PAYMENT_METHOD_ID_LAST_19.0,0.00012587814
NEW_NO_TRANSACTION,0.0
PAYMENT_METHOD_ID_LAST_11.0,0.0
PAYMENT_METHOD_ID_LAST_10.0,0.0
PAYMENT_METHOD_ID_LAST_6.0,0.0
